Year,LowAltitude,GreenTransport
2016,0.10583059153153068,0.19410584862325805
2017,0.10386613414011221,0.20084257363605557
2018,0.11453609500819015,0.2106566780736475
2019,0.13124158263162028,0.20456315809723646
2020,0.11650696811657303,0.24235769625127238
2021,0.12169470501308556,0.2538585772423596
2022,0.11868326374525649,0.27419238783461697
2023,0.14576350627184356,0.29452244035090425
