省份,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,0.020680012831617585,0.028556709650807185,0.2940938073105531,0.019855529943388423,0.02189640011232111,0.03627519785758157,0.02195021651689468,0.022833008339894392,0.025700817950097307,0.022203041101463823,0.029752424858639607,0.019215126817674077,0.022252780379032566,0.0549629861457597,0.02174251032561177,0.020150214216532063,0.02015146558213231,0.037685102890690006,0.021807127299272172,0.026692588632153656,0.022542727352965423,0.018647786348667934,0.03858786571393772,0.019336628637125753,0.02218583653071778,0.026368671727361744,0.024191600160755607,0.020581926770466948,0.01909988799588383
云南,0.001857845174534999,0.0,0.006735520156245311,0.001735790935708556,0.04473972524774591,0.03344247240343506,0.004321427461692476,0.03210431789880301,0.01970255123725017,0.009509981881129325,0.02708346995550647,0.0060926598945500515,0.024369140017000544,0.02628571748962852,0.0029785184191207055,0.03801698378468044,0.07065664822614989,0.07082832010718797,0.004117170113292297,0.035944054545175,0.00824777282457586,0.02248338074439933,0.017047416986133716,0.004003274073744695,0.02674117292891583,0.02737167564208389,0.008611618681000481,0.012798705680781872,0.3897162285832196,0.02245643890630801
内蒙古,0.007458561523736074,0.019582103234990596,0.0,0.006798442510401036,0.017019873264599385,0.024520558570959545,0.03505325064015867,0.02478105779853316,0.029753467075261723,0.0671200094856827,0.026063922130580897,0.18557813333637257,0.015341787757440823,0.0263284188967428,0.015524453303408759,0.023798357989022915,0.017877943381122693,0.017881715433667414,0.03079120204879123,0.024097592869158364,0.10679686267175591,0.027957346003292024,0.014036349168263256,0.028691371525560453,0.015642247988030065,0.025973395333568086,0.08988296688685289,0.041335141883663225,0.019249518164093433,0.015063949124289579
北京,0.31290425384048454,0.020557215511391096,0.027694154223060347,0.0,0.019789461596416306,0.021682593113645173,0.034357614449402316,0.02173218288826825,0.02254323810066796,0.025147106069819986,0.021964925297256358,0.02874722023235929,0.019190333591193567,0.02201066992867728,0.0492705243499239,0.021540696261263703,0.020064332593515435,0.020065498723591965,0.035541313372077686,0.02160029434400376,0.026036764011596797,0.022277044700249476,0.018657509525310496,0.03629396765077134,0.019304192586695842,0.021949099105907335,0.025746803138716863,0.02378263963763223,0.02046608915091733,0.019082262005183325
吉林,0.002379939365316253,0.05969239545405813,0.007810769485688817,0.002229424660840332,0.0,0.0255338541241663,0.005257870678116659,0.024938995087166356,0.018250530962658273,0.010464153727978391,0.022509437420205457,0.0071546332706422956,0.07140629733539051,0.022091786165418632,0.003725939925972265,0.02742210710259728,0.16272147341677334,0.1620435352643135,0.005030293262673609,0.026592978558548048,0.009291477531649224,0.01996491259358647,0.036745872086832596,0.004902565443490526,0.0886825252727199,0.022658050950205517,0.009635206442900727,0.013277937298530808,0.06743104038481469,0.060153996726745186
四川,0.0008304443783115501,0.014118140242363639,0.003560584341923119,0.0007729002747852757,0.008079226662732506,0.0,0.002095057683979919,0.33849096711413684,0.020244102216654125,0.005610021434726056,0.06012315137625214,0.003145048900682311,0.005951242774284258,0.051848612931904056,0.001380353556760444,0.11730345205049099,0.009582781850414751,0.009590249459650098,0.001982129942210609,0.20277645424613294,0.004621692771642486,0.02896276010381282,0.0047668963124242,0.001919840749732156,0.006273137151399992,0.06364717326422993,0.004896282560107868,0.00875280325689431,0.013002706248045821,0.005671786143314552
天津,0.010952226077225072,0.014523160022434053,0.04052042554639449,0.009749672427104804,0.013243967321168098,0.01667826100318248,0.0,0.016782063227448612,0.018603451924854453,0.02661899140037197,0.017280342852237313,0.04995594425022932,0.01233569161308442,0.01738048673085022,0.03221153179114105,0.0163856774234484,0.013686150913319007,0.013688063092653541,0.2927190670422512,0.0165077726655598,0.030507460689430624,0.017978699157088628,0.011586170238331066,0.18273443610986273,0.012502737106128812,0.017245868161698066,0.02915185222808899,0.02192645382386318,0.014363934605727751,0.012179440554822018
宁夏,0.0008918890525852046,0.014520339042503041,0.0038551826148817848,0.0008299459087622864,0.008454084119117395,0.3626446537508483,0.002258524300454564,0.0,0.023067332669132936,0.00611155913275202,0.07831445010344949,0.003401049563141344,0.0062658146957163,0.06558825239883748,0.0014849027607993434,0.09334629094219489,0.009984113863596527,0.009991679995782122,0.0021360687872904547,0.13589223334103845,0.005019979210334199,0.03393079956028366,0.005036171168256602,0.0020685593636381,0.0065985612316994385,0.0839668559886453,0.005322607114927638,0.009626127266491426,0.013415539849767214,0.00597643220307258
安徽,0.0025153217853113767,0.024159846333908448,0.012549345794530228,0.002334108969260329,0.01677341573475035,0.058801866168548086,0.006787836037152097,0.06253969676102267,0.0,0.02254154038196083,0.08864660925739098,0.0108154173463034,0.013359141822721217,0.09646082528342718,0.004302810190188952,0.05014916354038602,0.018892104930006197,0.018902094752592954,0.006382248148571659,0.05346620667956461,0.017395586623828757,0.1953099211554931,0.01120725003505823,0.006160671237050965,0.013910785397181213,0.0862232832815179,0.018758815377583973,0.04478742106979655,0.022997552759476375,0.01286911314541527
山东,0.004990491879676412,0.020554995334120182,0.04990011040931661,0.0045894308855970525,0.016951811305174435,0.028722556960086073,0.01711967019140128,0.029206290547956582,0.039732837519146455,0.0,0.03167805160935686,0.036646486081340114,0.014785223473319214,0.03220700217416801,0.009373582712153768,0.027411887947662087,0.018116729160162524,0.018121939739024626,0.0156927237247537,0.027949608630047196,0.13430757242680497,0.035622083518023366,0.013194490336265657,0.014943013700387003,0.015162768504875633,0.03149857472290435,0.19702327506483192,0.07999130152265908,0.020065507848552468,0.014439982070232045
