year,moran_low,p_low,moran_green,p_green
2016,0.09137771300536308,0.334,0.2691077492446198,0.008
2017,-0.024742775948558126,0.814,0.27508965539832214,0.006
2018,-0.022081741126747215,0.828,0.28824258876950665,0.006
2019,0.06608940584582804,0.466,0.269968476623561,0.006
2020,0.02154501427258607,0.838,0.2955111434894933,0.004
2021,0.027992444394856625,0.75,0.30650951747494926,0.004
2022,0.019887932098123017,0.82,0.30938160693590727,0.002
2023,0.024594199700339534,0.794,0.30699474508195657,0.002
