模型,MAE,RMSE,R2
"GM(1,1)",0.015678822197482532,0.016394630556234954,0.9780007238423971
GraphSAGE,0.014542088256069126,0.032210394931006,0.9150824957091608
LSTM,0.04129248862002068,0.05301693537455842,0.769943577415384
ARIMA,0.05706076401046582,0.066151197655029,0.6418371433745345
