年份,省份,区域,低空经济指数,绿色交通指数,双系统综合发展指数,全国排名,时间衰减因子
2016,上海,东部,0.237523827877058,0.46434397141807654,0.35093389964756727,1.0,0.9
2016,云南,西部,0.15303325965845507,0.27388417526621056,0.2134587174623328,14.0,0.9
2016,内蒙古,西部,0.2013999436360535,0.2680727433930494,0.23473634351455144,7.0,0.9
2016,北京,东部,0.2575012172721603,0.40220634717690407,0.3298537822245322,2.0,0.9
2016,吉林,东北,0.09507821702152212,0.28664930789297904,0.1908637624572506,20.0,0.9
2016,四川,西部,0.2125828927263715,0.2314118190410959,0.2219973558837337,10.0,0.9
2016,天津,东部,0.0856155840659058,0.3529564885888733,0.21928603632738955,12.0,0.9
2016,宁夏,西部,0.032077289033561156,0.33408832478675216,0.18308280691015666,24.0,0.9
2016,安徽,中部,0.09532769706745119,0.2822426775620975,0.18878518731477434,23.0,0.9
2016,山东,东部,0.20622382365159178,0.2555711625073025,0.23089749307944712,9.0,0.9
2016,山西,中部,0.22197727273715992,0.2427434913114843,0.2323603820243221,8.0,0.9
2016,广东,东部,0.30837842522816405,0.3243146448180012,0.31634653502308263,3.0,0.9
2016,广西,西部,0.12500859797702826,0.2803623269527868,0.20268546246490754,17.0,0.9
2016,新疆,西部,0.1481956450885789,0.26108408572311254,0.20463986540584572,15.0,0.9
2016,江苏,东部,0.23444052719430464,0.31420070463634414,0.2743206159153244,4.0,0.9
2016,江西,中部,0.10757276215327158,0.28513134158643255,0.19635205186985205,18.0,0.9
2016,河北,东部,0.1465762229499313,0.23110511221621757,0.18884066758307444,22.0,0.9
2016,河南,中部,0.1100006334870264,0.22452239187989384,0.16726151268346012,28.0,0.9
2016,浙江,东部,0.1604731203043142,0.31930646173009236,0.23988979101720329,5.0,0.9
2016,海南,东部,0.07278417472670107,0.2863779814794709,0.179581078103086,26.0,0.9
2016,湖北,中部,0.10872239554313541,0.2532752939086421,0.18099884472588876,25.0,0.9
2016,湖南,中部,0.11320793800567654,0.24593615553947581,0.17957204677257618,27.0,0.9
2016,甘肃,西部,0.09739128886061922,0.20766978223314073,0.15253053554687998,30.0,0.9
2016,福建,东部,0.12359426703007066,0.31453285093744693,0.2190635589837588,13.0,0.9
2016,贵州,西部,0.11330730410479224,0.2696568487118819,0.19148207640833706,19.0,0.9
2016,辽宁,东北,0.1730511260816741,0.29783591824655004,0.23544352216411207,6.0,0.9
2016,重庆,西部,0.08525835320093957,0.2953859461386893,0.19032214966981442,21.0,0.9
2016,陕西,西部,0.09451402390464829,0.2359882041428394,0.16525111402374384,29.0,0.9
2016,青海,西部,0.07448220638457767,0.3343679056631393,0.20442505602385846,16.0,0.9
2016,黑龙江,东北,0.15978839245297594,0.2793512190929969,0.21956980577298643,11.0,0.9
2017,上海,东部,0.2461571012510629,0.4718142349810209,0.3589856681160419,1.0,0.9
2017,云南,西部,0.15726940430878297,0.27179871498932484,0.21453405964905392,14.0,0.9
2017,内蒙古,西部,0.17739966716221794,0.2716337436166773,0.22451670538944762,10.0,0.9
2017,北京,东部,0.24725875275432893,0.41433206744842827,0.3307954101013786,3.0,0.9
2017,吉林,东北,0.09158999680124888,0.28877288276958923,0.19018143978541907,22.0,0.9
2017,四川,西部,0.21726314402097643,0.2381291371997783,0.22769614061037735,8.0,0.9
2017,天津,东部,0.057194232682781544,0.36153776223361617,0.20936599745819887,17.0,0.9
2017,宁夏,西部,0.029182864753166865,0.3413722453918422,0.18527755507250454,24.0,0.9
2017,安徽,中部,0.0974301522987308,0.2870540073142375,0.19224207980648417,21.0,0.9
2017,山东,东部,0.21329222732742698,0.2607149309209463,0.23700357912418663,6.0,0.9
2017,山西,中部,0.20290444393535953,0.2507556687595192,0.22683005634743936,9.0,0.9
2017,广东,东部,0.36939143862028456,0.32814614176707685,0.3487687901936807,2.0,0.9
2017,广西,西部,0.12198826603784621,0.2831630514887329,0.20257565876328953,18.0,0.9
2017,新疆,西部,0.1703835400510611,0.26399679189326575,0.21719016597216342,12.0,0.9
2017,江苏,东部,0.23628628148337816,0.3195136323634189,0.27789995692339853,4.0,0.9
2017,江西,中部,0.09255698252935805,0.29198444201606627,0.19227071227271217,20.0,0.9
2017,河北,东部,0.12301257310789275,0.23888234579388487,0.1809474594508888,27.0,0.9
2017,河南,中部,0.10407072735519697,0.22951277075381263,0.1667917490545048,29.0,0.9
2017,浙江,东部,0.16319144952637185,0.3244651477670303,0.24382829864670108,5.0,0.9
2017,海南,东部,0.07101251492441588,0.29142145885875337,0.1812169868915846,26.0,0.9
2017,湖北,中部,0.11775722320139963,0.25860369532794303,0.18818045926467133,23.0,0.9
2017,湖南,中部,0.11594423533630925,0.2517397811488116,0.18384200824256045,25.0,0.9
2017,甘肃,西部,0.0999325242862138,0.21293142922825395,0.15643197675723386,30.0,0.9
2017,福建,东部,0.10758791376625902,0.322059117898517,0.214823515832388,13.0,0.9
2017,贵州,西部,0.14588146553060025,0.2742212749322703,0.21005137023143527,16.0,0.9
2017,辽宁,东北,0.1613544689855309,0.30272046624748467,0.2320374676165078,7.0,0.9
2017,重庆,西部,0.08940690394392614,0.30159235396725187,0.195499628955589,19.0,0.9
2017,陕西,西部,0.10772787391802675,0.24498006621332694,0.17635397006567685,28.0,0.9
2017,青海,西部,0.08331416886151767,0.3396680747038184,0.21149112178266802,15.0,0.9
2017,黑龙江,东北,0.15482780075844096,0.28324900083311716,0.21903840079577908,11.0,0.9
2018,上海,东部,0.2655661975241752,0.4856666295834969,0.375616413553836,1.0,0.9
2018,云南,西部,0.17755559021521525,0.2792684894148017,0.22841203981500846,12.0,0.9
2018,内蒙古,西部,0.19256400665379783,0.2793545897792985,0.23595929821654815,9.0,0.9
2018,北京,东部,0.2706932862250697,0.4203093330075772,0.34550130961632347,3.0,0.9
2018,吉林,东北,0.11276597470427714,0.3045777359034953,0.2086718553038862,20.0,0.9
2018,四川,西部,0.24857190827116837,0.24684861486259776,0.24771026156688308,6.0,0.9
2018,天津,东部,0.07178498007285539,0.3790125634101166,0.22539877174148598,14.0,0.9
2018,宁夏,西部,0.03924330211305069,0.3471378336165075,0.19319056786477912,25.0,0.9
2018,安徽,中部,0.10202759785515658,0.29719635939019434,0.19961197862267546,22.0,0.9
2018,山东,东部,0.22132627210224143,0.2689604167610673,0.24514334443165436,7.0,0.9
2018,山西,中部,0.22281267581743266,0.2609968663253279,0.2419047710713803,8.0,0.9
2018,广东,东部,0.4076470983843232,0.3407258537476073,0.3741864760659652,2.0,0.9
2018,广西,西部,0.13449865545675743,0.2913862756393658,0.21294246554806162,16.0,0.9
2018,新疆,西部,0.18621193568306196,0.26996201184684393,0.22808697376495296,13.0,0.9
2018,江苏,东部,0.23683375212288285,0.330539572467718,0.28368666229530043,4.0,0.9
2018,江西,中部,0.10448097960249257,0.3031666085557397,0.20382379407911613,21.0,0.9
2018,河北,东部,0.13346278564112962,0.24635152256438508,0.18990715410275735,26.0,0.9
2018,河南,中部,0.13056204651298564,0.2341208233993616,0.1823414349561736,28.0,0.9
2018,浙江,东部,0.17641332402338827,0.33812546592989146,0.25726939497663986,5.0,0.9
2018,海南,东部,0.07323735933157718,0.3012498440436924,0.18724360168763482,27.0,0.9
2018,湖北,中部,0.1254100854913853,0.2678526318433618,0.19663135866737352,24.0,0.9
2018,湖南,中部,0.13587514685289243,0.26088086742485495,0.19837800713887369,23.0,0.9
2018,甘肃,西部,0.12308628023256096,0.22358824646383632,0.17333726334819866,30.0,0.9
2018,福建,东部,0.12390399202969597,0.3343849974113932,0.2291444947205446,11.0,0.9
2018,贵州,西部,0.13887264592509344,0.2819817028070894,0.21042717436609143,18.0,0.9
2018,辽宁,东北,0.15960399914100482,0.31193505307916203,0.23576952611008342,10.0,0.9
2018,重庆,西部,0.10678770238731831,0.31124298176884185,0.2090153420780801,19.0,0.9
2018,陕西,西部,0.1007549168273785,0.2538709162112661,0.1773129165193223,29.0,0.9
2018,青海,西部,0.07516187539716426,0.3497092090754012,0.21243554223628275,17.0,0.9
2018,黑龙江,东北,0.15598034813694933,0.292649328163884,0.22431483815041667,15.0,0.9
2019,上海,东部,0.31845489247651115,0.46778257925551797,0.39311873586601453,2.0,0.9
2019,云南,西部,0.15719750579872577,0.27487757710317917,0.21603754145095247,15.0,0.9
2019,内蒙古,西部,0.22657375368271163,0.2701439102937348,0.24835883198822323,9.0,0.9
2019,北京,东部,0.30465432920355584,0.4013838354031738,0.3530190823033648,3.0,0.9
2019,吉林,东北,0.1206200091450186,0.2984197920060644,0.20951990057554148,19.0,0.9
2019,四川,西部,0.23681799636472378,0.24537090047135732,0.24109444841804056,10.0,0.9
2019,天津,东部,0.1456009267446964,0.36700126434364566,0.256301095544171,8.0,0.9
2019,宁夏,西部,0.03492218146838767,0.3441258611614385,0.18952402131491308,26.0,0.9
2019,安徽,中部,0.10757696296296122,0.29742222846865884,0.20249959571581003,23.0,0.9
2019,山东,东部,0.2157539062600902,0.2655655362630731,0.24065972126158164,11.0,0.9
2019,山西,中部,0.29391235119661424,0.26059481080083613,0.2772535809987252,5.0,0.9
2019,广东,东部,0.4757574673552354,0.3385394959637331,0.40714848165948425,1.0,0.9
2019,广西,西部,0.14258978202929118,0.28800206094233427,0.21529592148581272,17.0,0.9
2019,新疆,西部,0.18797630107871724,0.2689591195679029,0.2284677103233101,13.0,0.9
2019,江苏,东部,0.2793899696604055,0.31868182382539534,0.29903589674290043,4.0,0.9
2019,江西,中部,0.11733347114500967,0.30023659223541554,0.20878503169021262,20.0,0.9
2019,河北,东部,0.1893999973480697,0.24181783198826123,0.21560891466816545,16.0,0.9
2019,河南,中部,0.13164137777637014,0.23520686506514285,0.18342412142075648,27.0,0.9
2019,浙江,东部,0.19267865534995457,0.32940999484648004,0.2610443250982173,6.0,0.9
