年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2016,上海,东部,0.35068645367133333,0.3501889282419156,0.3234658710113267
2016,云南,西部,0.2136410929565764,0.20490644305775654,0.12057112417185814
2016,内蒙古,西部,0.2348737045087554,0.2262155364357828,0.13758622065690845
2016,北京,东部,0.32958679172178473,0.3285022295736719,0.2857039740993461
2016,吉林,东北,0.19080774132271416,0.18704438837503942,0.12576165912857
2016,四川,西部,0.22215283903889976,0.21422846458534267,0.1389558985546518
2016,天津,东部,0.21922101284410364,0.21770126724749833,0.17806225536165107
2016,宁夏,西部,0.18315230956674203,0.17911034649649715,0.11331076322601663
2016,安徽,中部,0.18888947485371999,0.18385650263898753,0.12410198323036248
2016,山东,东部,0.231051122456727,0.22578762342195008,0.17398982350770548
2016,山西,中部,0.2321309689443623,0.229551366173534,0.17089495042282377
2016,广东,东部,0.3164171506688981,0.31164821613115834,0.2678375955851925
2016,广西,西部,0.20270832895806873,0.19635962743509214,0.12117050762499176
2016,新疆,西部,0.2048876549161926,0.19593981277965195,0.11174837495135578
2016,江苏,东部,0.2744626590177613,0.26837113264823453,0.210048096056627
2016,江西,中部,0.19642945370700088,0.1907952382670385,0.12225368382278845
2016,河北,东部,0.1888520988591545,0.1856126413847084,0.13614602923807467
2016,河南,中部,0.16730789191953324,0.16404972872851775,0.1180936374284458
2016,浙江,东部,0.24002418912302442,0.23463149038523895,0.17647004719829515
2016,海南,东部,0.17959921034893034,0.17449071642109443,0.10860889309630956
2016,湖北,中部,0.1811222644298354,0.17584555391000647,0.12034441872700191
2016,湖南,中部,0.17968435236552932,0.17439620499605005,0.11521859969375306
2016,甘肃,西部,0.15265696837948461,0.14657510721622752,0.08230997232726572
2016,福建,东部,0.21905709953123734,0.21439300902099348,0.1498056728532553
2016,贵州,西部,0.19161752958496597,0.1842635752504171,0.10786534033753181
2016,辽宁,东北,0.2354161867041128,0.23023889925655106,0.16336514096960053
2016,重庆,西部,0.19026337805256882,0.1871460680450396,0.13379523974086066
2016,陕西,西部,0.1653568335892242,0.16107388728308658,0.10883585996740314
2016,青海,西部,0.20449683586615353,0.19879809220715022,0.12173948904613076
2016,黑龙江,东北,0.21971350198540612,0.21188667756221014,0.13098548028572143
2017,上海,东部,0.35871811592953984,0.35830905003812663,0.3330779265502053
2017,云南,西部,0.21471590262904083,0.2058941873822759,0.12166899899416261
2017,内蒙古,西部,0.22472036852154104,0.2152781195591793,0.12492567972874427
2017,北京,东部,0.3305759092622381,0.3290158901005521,0.2865705443537012
2017,吉林,东北,0.190217505470128,0.18495865171122144,0.11870504617254377
2017,四川,西部,0.2278666150285345,0.21962205552402164,0.14334862920167832
