年份,改进模型全国平均指数,传统模型全国平均指数,指数差值_改进减传统,提升幅度_%
2016,0.2168755699964267,0.2117869591725481,0.005088610823878598,2.402702623315338
2017,0.2199564602217489,0.21456777601978091,0.005388684201967975,2.5114135505003294
2018,0.2311795040234285,0.2256876424744953,0.005491861548933191,2.433390454487919
2019,0.23687652235197298,0.23141679116676236,0.00545973118521062,2.3592631967989988
2020,0.2519497890646534,0.2459140749504862,0.006035714114167173,2.454399617176219
2021,0.25627873346806235,0.2502871369083482,0.005991596559714152,2.39388912819287
2022,0.2626220833460898,0.256534186564593,0.006087896781496793,2.3731327442254626
2023,0.2820441889015231,0.27624688874964376,0.005797300151879348,2.0985938260225288
