年份,省份,区域,低空经济指数,绿色交通指数,双系统综合发展指数,全国排名
2016,上海,东部,0.23789694015283327,0.46434397141807654,0.3511204557854549,1.0
2016,云南,西部,0.15288899566544015,0.27388417526621056,0.21338658546582534,14.0
2016,内蒙古,西部,0.2013381778854735,0.2680727433930494,0.23470546063926145,7.0
2016,北京,东部,0.25794522728526803,0.40220634717690407,0.33007578723108605,2.0
2016,吉林,东北,0.0952191386078632,0.28664930789297904,0.19093422325042111,20.0
2016,四川,西部,0.21244779422511126,0.2314118190410959,0.22192980663310358,10.0
2016,天津,东部,0.08572950129734286,0.3529564885888733,0.21934299494310808,12.0
2016,宁夏,西部,0.03208315232598925,0.33408832478675216,0.1830857385563707,24.0
2016,安徽,中部,0.09522018759992462,0.2822426775620975,0.18873143258101105,23.0
2016,山东,东部,0.2060608774377824,0.2555711625073025,0.23081601997254245,9.0
2016,山西,中部,0.22239439961430357,0.2427434913114843,0.23256894546289392,8.0
2016,广东,东部,0.30834834147891543,0.3243146448180012,0.3163314931484583,3.0
2016,广西,西部,0.12502538851626188,0.2803623269527868,0.20269385773452434,17.0
2016,新疆,西部,0.14799533798340436,0.26108408572311254,0.20453971185325845,15.0
2016,江苏,东部,0.2342649649644576,0.31420070463634414,0.27423283480040084,4.0
2016,江西,中部,0.10751753884261812,0.28513134158643255,0.19632444021452533,18.0
2016,河北,东部,0.14662462700659978,0.23110511221621757,0.1888648696114087,22.0
2016,河南,中部,0.10996344816483039,0.22452239187989384,0.16724292002236213,28.0
2016,浙江,东部,0.16030660191650487,0.31930646173009236,0.2398065318232986,5.0
2016,海南,东部,0.0727836566582795,0.2863779814794709,0.1795808190688752,26.0
2016,湖北,中部,0.10857824105147518,0.2532752939086421,0.18092676748005865,25.0
2016,湖南,中部,0.11309959213969273,0.24593615553947581,0.17951787383958429,27.0
2016,甘肃,西部,0.09732737414067223,0.20766978223314073,0.15249857818690649,30.0
2016,福建,东部,0.12362013723604694,0.31453285093744693,0.21907649408674693,13.0
2016,贵州,西部,0.1132102663882368,0.2696568487118819,0.19143355755005934,19.0
2016,辽宁,东北,0.17315431330996015,0.29783591824655004,0.2354951157782551,6.0
2016,重庆,西部,0.0853498747736665,0.2953859461386893,0.1903679104561779,21.0
2016,陕西,西部,0.09444031178646083,0.2359882041428394,0.1652142579646501,29.0
2016,青海,西部,0.07449849816436147,0.3343679056631393,0.20443320191375036,16.0
2016,黑龙江,东北,0.15966367098901343,0.2793512190929969,0.21950744504100517,11.0
2017,上海,东部,0.24654647345023145,0.4718142349810209,0.35918035421562616,1.0
2017,云南,西部,0.15712118785721235,0.27179871498932484,0.2144599514232686,14.0
2017,内蒙古,西部,0.17723002740464605,0.2716337436166773,0.22443188551066168,10.0
2017,北京,东部,0.24762934187082034,0.41433206744842827,0.3309807046596243,3.0
2017,吉林,东北,0.09160085271781808,0.28877288276958923,0.19018686774370366,22.0
2017,四川,西部,0.21709358396671252,0.2381291371997783,0.2276113605832454,8.0
2017,天津,东部,0.057196863617378906,0.36153776223361617,0.20936731292549754,17.0
2017,宁夏,西部,0.02917096904209072,0.3413722453918422,0.18527160721696645,24.0
2017,安徽,中部,0.09730254987034576,0.2870540073142375,0.19217827859229164,21.0
2017,山东,东部,0.21309285983578327,0.2607149309209463,0.23690389537836476,6.0
2017,山西,中部,0.20322189479974567,0.2507556687595192,0.22698878177963244,9.0
2017,广东,东部,0.36938435496297933,0.32814614176707685,0.3487652483650281,2.0
2017,广西,西部,0.1219828265989707,0.2831630514887329,0.2025729390438518,18.0
2017,新疆,西部,0.1701926479452134,0.26399679189326575,0.21709471991923956,12.0
2017,江苏,东部,0.23604621131993772,0.3195136323634189,0.2777799218416783,4.0
2017,江西,中部,0.0924655416225021,0.29198444201606627,0.19222499181928418,20.0
2017,河北,东部,0.12288853483234223,0.23888234579388487,0.18088544031311354,27.0
2017,河南,中部,0.10396785688495969,0.22951277075381263,0.16674031381938614,29.0
2017,浙江,东部,0.16298656048027363,0.3244651477670303,0.24372585412365194,5.0
2017,海南,东部,0.07100250316200044,0.29142145885875337,0.1812119810103769,26.0
2017,湖北,中部,0.1176358505115807,0.25860369532794303,0.18811977291976187,23.0
2017,湖南,中部,0.11578434104514997,0.2517397811488116,0.1837620610969808,25.0
2017,甘肃,西部,0.09987060212862929,0.21293142922825395,0.1564010156784416,30.0
2017,福建,东部,0.10749430616676513,0.322059117898517,0.21477671203264107,13.0
2017,贵州,西部,0.14585494071033908,0.2742212749322703,0.21003810782130466,16.0
2017,辽宁,东北,0.16136169790695074,0.30272046624748467,0.2320410820772177,7.0
2017,重庆,西部,0.08949057260732042,0.30159235396725187,0.19554146328728614,19.0
2017,陕西,西部,0.10770576124158908,0.24498006621332694,0.176342913727458,28.0
2017,青海,西部,0.08335110618787404,0.3396680747038184,0.21150959044584622,15.0
2017,黑龙江,东北,0.15467075601013155,0.28324900083311716,0.21895987842162434,11.0
2018,上海,东部,0.2659823693949561,0.4856666295834969,0.37582449948922647,1.0
2018,云南,西部,0.17738932798852106,0.2792684894148017,0.2283289087016614,12.0
2018,内蒙古,西部,0.1923719952818644,0.2793545897792985,0.23586329253058147,9.0
2018,北京,东部,0.2710502963663711,0.4203093330075772,0.3456798146869742,3.0
2018,吉林,东北,0.11277830180340116,0.3045777359034953,0.20867801885344822,20.0
2018,四川,西部,0.2484586183983741,0.24684861486259776,0.24765361663048593,6.0
2018,天津,东部,0.0718313993779056,0.3790125634101166,0.2254219813940111,14.0
2018,宁夏,西部,0.03918499296469761,0.3471378336165075,0.19316141329060257,25.0
2018,安徽,中部,0.10188396440136034,0.29719635939019434,0.19954016189577733,22.0
2018,山东,东部,0.22113800469433773,0.2689604167610673,0.24504921072770253,7.0
2018,山西,中部,0.22311905369617896,0.2609968663253279,0.24205796001075344,8.0
2018,广东,东部,0.40754002375272375,0.3407258537476073,0.3741329387501655,2.0
2018,广西,西部,0.13443427028959487,0.2913862756393658,0.21291027296448034,16.0
2018,新疆,西部,0.18593293192105095,0.26996201184684393,0.22794747188394743,13.0
2018,江苏,东部,0.23657263645029838,0.330539572467718,0.2835561044590082,4.0
2018,江西,中部,0.10443086952051508,0.3031666085557397,0.2037987390381274,21.0
2018,河北,东部,0.1333540834518665,0.24635152256438508,0.1898528030081258,26.0
2018,河南,中部,0.13048019889879983,0.2341208233993616,0.18230051114908072,28.0
2018,浙江,东部,0.17621842638336158,0.33812546592989146,0.25717194615662653,5.0
2018,海南,东部,0.07322498254999889,0.3012498440436924,0.18723741329684565,27.0
2018,湖北,中部,0.12528559117440308,0.2678526318433618,0.19656911150888243,24.0
2018,湖南,中部,0.13570376275235743,0.26088086742485495,0.19829231508860617,23.0
2018,甘肃,西部,0.12297509583523879,0.22358824646383632,0.17328167114953755,30.0
2018,福建,东部,0.12382986065284683,0.3343849974113932,0.22910742903212003,11.0
2018,贵州,西部,0.13872234855525975,0.2819817028070894,0.21035202568117456,18.0
2018,辽宁,东北,0.15954250964938385,0.31193505307916203,0.23573878136427295,10.0
2018,重庆,西部,0.10689797540478876,0.31124298176884185,0.20907047858681532,19.0
2018,陕西,西部,0.10065934418429012,0.2538709162112661,0.17726513019777812,29.0
2018,青海,西部,0.07509132337130488,0.3497092090754012,0.21240026622335303,17.0
2018,黑龙江,东北,0.1558135538742485,0.292649328163884,0.22423144101906625,15.0
2019,上海,东部,0.31890264726940265,0.46778257925551797,0.39334261326246034,2.0
2019,云南,西部,0.156939239856517,0.27487757710317917,0.2159084084798481,15.0
2019,内蒙古,西部,0.22651040678780762,0.2701439102937348,0.2483271585407712,9.0
2019,北京,东部,0.30507027253628427,0.4013838354031738,0.35322705396972903,3.0
2019,吉林,东北,0.12066555726436291,0.2984197920060644,0.20954267463521364,19.0
2019,四川,西部,0.23655282819285875,0.24537090047135732,0.24096186433210803,10.0
2019,天津,东部,0.14592026542329994,0.36700126434364566,0.2564607648834728,8.0
2019,宁夏,西部,0.034842844335240666,0.3441258611614385,0.18948435274833958,26.0
2019,安徽,中部,0.10743222828353051,0.29742222846865884,0.20242722837609467,23.0
2019,山东,东部,0.21552991200264893,0.2655655362630731,0.24054772413286102,11.0
2019,山西,中部,0.29448401549677183,0.26059481080083613,0.277539413148804,5.0
2019,广东,东部,0.47562852403643996,0.3385394959637331,0.40708401000008654,1.0
2019,广西,西部,0.14254359745184786,0.28800206094233427,0.21527282919709106,17.0
2019,新疆,西部,0.18768763438603478,0.2689591195679029,0.22832337697696886,13.0
2019,江苏,东部,0.27911522963496993,0.31868182382539534,0.29889852673018263,4.0
2019,江西,中部,0.11728342330579232,0.30023659223541554,0.20876000777060394,20.0
2019,河北,东部,0.18951123911458967,0.24181783198826123,0.21566453555142545,16.0
2019,河南,中部,0.13153609327776325,0.23520686506514285,0.18337147917145305,27.0
2019,浙江,东部,0.19246347557221238,0.32940999484648004,0.26093673520934624,6.0
2019,海南,东部,0.06697120415054902,0.29629740551810385,0.18163430483432644,28.0
2019,湖北,中部,0.13211376971602962,0.26144015059650383,0.19677696015626672,25.0
2019,湖南,中部,0.14152182100394783,0.2591055135600487,0.20031366728199826,24.0
2019,甘肃,西部,0.11544066286770761,0.22492089941906357,0.17018078114338558,29.0
2019,福建,东部,0.12554950267092166,0.31997885960445405,0.22276418113768787,14.0
2019,贵州,西部,0.1249701363048392,0.28009727334716583,0.20253370482600253,22.0
2019,辽宁,东北,0.2073744372630058,0.3074564942359401,0.25741546574947294,7.0
2019,重庆,西部,0.10467030039257114,0.30753237921961496,0.20610133980609305,21.0
2019,陕西,西部,0.08798827365146725,0.25048731626846066,0.16923779495996394,30.0
2019,青海,西部,0.07910631454125536,0.34597497896298796,0.21254064675212164,18.0
2019,黑龙江,东北,0.18708569758970867,0.2899640324750515,0.23852486503238007,12.0
2020,上海,东部,0.26632286980709374,0.5395712959665607,0.40294708288682723,2.0
2020,云南,西部,0.1567554642320856,0.3131536711837502,0.2349545677079179,15.0
2020,内蒙古,西部,0.17973873276226424,0.312604928791779,0.2461718307770216,10.0
2020,北京,东部,0.2520721185521952,0.475795093902179,0.36393360622718707,3.0
2020,吉林,东北,0.09146678883836246,0.33976393500619356,0.215615361922278,24.0
2020,四川,西部,0.24925266715385053,0.28776337740848495,0.26850802228116777,7.0
2020,天津,东部,0.06614471195150919,0.4138902617473573,0.24001748684943325,12.0
2020,宁夏,西部,0.035924090080090725,0.38291930649186334,0.20942169828597704,25.0
2020,安徽,中部,0.11497566955490403,0.3429405478089913,0.22895810868194766,21.0
2020,山东,东部,0.231377390207958,0.3148382787732267,0.27310783449059234,6.0
2020,山西,中部,0.1705294106401417,0.29786413472741585,0.23419677268377878,16.0
2020,广东,东部,0.4725174807081565,0.39945879805984075,0.4359881393839986,1.0
2020,广西,西部,0.13483711983788235,0.3260598085207949,0.23044846417933862,20.0
2020,新疆,西部,0.18309433726755203,0.31573339953354596,0.249413868400549,9.0
2020,江苏,东部,0.273341154033546,0.3803893138770501,0.32686523395529804,4.0
2020,江西,中部,0.13529529375560106,0.3405771673767988,0.23793623056619992,14.0
2020,河北,东部,0.12596742476148032,0.2820478463311055,0.20400763554629292,27.0
2020,河南,中部,0.13749849752046334,0.27221086406461115,0.20485468079253724,26.0
2020,浙江,东部,0.19920270299433687,0.38689942670740646,0.2930510648508717,5.0
2020,海南,东部,0.06681260989519684,0.3296538426939086,0.19823322629455273,28.0
2020,湖北,中部,0.13009107056853275,0.3117222681854263,0.22090666937697953,23.0
2020,湖南,中部,0.16130341781208388,0.30213221191232864,0.23171781486220627,19.0
2020,甘肃,西部,0.10990884031673462,0.25918276568223897,0.1845458029994868,30.0
2020,福建,东部,0.1174831099238681,0.3694147180794083,0.2434489140016382,11.0
2020,贵州,西部,0.12722460733642862,0.3203139766084194,0.223769291972424,22.0
2020,辽宁,东北,0.1637630497508366,0.3493402807346143,0.25655166524272544,8.0
2020,重庆,西部,0.11023393861238595,0.3539309870926563,0.23208246285252113,18.0
2020,陕西,西部,0.08964638009851039,0.29274864731392497,0.19119751370621768,29.0
2020,青海,西部,0.07993131648829818,0.3849729552735815,0.23245213588093983,17.0
2020,黑龙江,东北,0.1482054557675672,0.32895053401907276,0.23857799489332,13.0
2021,上海,东部,0.2736565990757183,0.550648630057889,0.41215261456680363,2.0
2021,云南,西部,0.16028595951662944,0.31306399544126556,0.2366749774789475,14.0
2021,内蒙古,西部,0.18765613087265687,0.3149577465116922,0.2513069386921746,10.0
2021,北京,东部,0.26079775427920754,0.48423278447982515,0.37251526937951634,3.0
2021,吉林,东北,0.08648723428798401,0.3340683528299065,0.21027779355894524,24.0
2021,四川,西部,0.26169533264131745,0.2897028912473691,0.27569911194434327,7.0
2021,天津,东部,0.06670007905758996,0.4164733763535713,0.24158672770558062,13.0
2021,宁夏,西部,0.03714806316511951,0.3812038911038766,0.20917597713449804,25.0
2021,安徽,中部,0.1407010727399684,0.34940555362586606,0.24505331318291723,12.0
2021,山东,东部,0.2444633019747993,0.318360182354255,0.28141174216452713,6.0
2021,山西,中部,0.16373949062344012,0.30305258181875666,0.2333960362210984,18.0
2021,广东,东部,0.5195576237337065,0.4131966012450114,0.466377112489359,1.0
2021,广西,西部,0.14075319333019998,0.32576555674378205,0.233259375036991,19.0
2021,新疆,西部,0.18671160064220513,0.30798007239839886,0.247345836520302,11.0
2021,江苏,东部,0.28988269600953054,0.39083565056348935,0.34035917328650994,4.0
2021,江西,中部,0.12409575421646049,0.344308438351013,0.23420209628373673,16.0
2021,河北,东部,0.11858090486927231,0.28230450042220495,0.20044270264573863,28.0
2021,河南,中部,0.13558431909120192,0.2709157021325175,0.2032500106118597,26.0
2021,浙江,东部,0.22273197423851995,0.39593778237623434,0.30933487830737716,5.0
2021,海南,东部,0.06857250631574155,0.33714595727086843,0.202859231793305,27.0
2021,湖北,中部,0.14677413942906553,0.3116128151400514,0.22919347728455847,22.0
2021,湖南,中部,0.15694957494877834,0.3076183076944954,0.23228394132163688,20.0
2021,甘肃,西部,0.11229254927411446,0.2602011990896825,0.18624687418189848,30.0
2021,福建,东部,0.1357868080750137,0.3747965857324896,0.25529169690375164,8.0
2021,贵州,西部,0.1271563743727077,0.3209812850257181,0.22406882969921288,23.0
2021,辽宁,东北,0.15527417780896222,0.3527503800956856,0.2540122789523239,9.0
2021,重庆,西部,0.10602417393042604,0.3556295487391764,0.23082686133480124,21.0
2021,陕西,西部,0.09479031486001369,0.29489989466541106,0.19484510476271238,29.0
2021,青海,西部,0.08244011414403067,0.38549781438566955,0.23396896426485012,17.0
2021,黑龙江,东北,0.14394618917212065,0.3271488956340364,0.2355475424030785,15.0
2022,上海,东部,0.2586401156862553,0.5921894352567475,0.4254147754715014,2.0
2022,云南,西部,0.16657302096789303,0.3236401498011496,0.2451065853845213,14.0
2022,内蒙古,西部,0.17338462358736823,0.3225944325061947,0.24798952804678145,13.0
2022,北京,东部,0.23569880334414506,0.51968990971245,0.3776943565282975,3.0
2022,吉林,东北,0.07558042779924369,0.3472551045166565,0.21141776615795008,26.0
2022,四川,西部,0.26201176172675633,0.3047499151393448,0.28338083843305056,7.0
2022,天津,东部,0.0703119837011568,0.43262541853083203,0.2514687011159944,11.0
2022,宁夏,西部,0.03311069595104383,0.39484675033887634,0.21397872314496008,24.0
2022,安徽,中部,0.13051569392907425,0.36680249519486763,0.24865909456197094,12.0
2022,山东,东部,0.2363584179147539,0.33500270115714426,0.28568055953594906,6.0
2022,山西,中部,0.11995972186805375,0.31500187994793627,0.21748080090799501,23.0
2022,广东,东部,0.5388865697153262,0.45564737504507535,0.4972669723802008,1.0
2022,广西,西部,0.12206135099321486,0.3366795435358518,0.22937044726453332,22.0
2022,新疆,西部,0.1976651413727315,0.32195634612420837,0.2598107437484699,9.0
2022,江苏,东部,0.30175784519069904,0.4176479945577254,0.3597029198742122,4.0
2022,江西,中部,0.11261871802997425,0.3547800460578765,0.23369938204392537,19.0
2022,河北,东部,0.12978163482948182,0.2954514553410209,0.21261654508525135,25.0
2022,河南,中部,0.14344302297892364,0.2757522465503598,0.20959763476464172,28.0
2022,浙江,东部,0.21186340813745172,0.42743936404786964,0.3196513860926607,5.0
2022,海南,东部,0.07090123218786146,0.34481680313816054,0.20785901766301101,29.0
2022,湖北,中部,0.1531501114381359,0.3345368468753962,0.24384347915676605,15.0
2022,湖南,中部,0.15219375982259795,0.3223029355475982,0.23724834768509806,17.0
2022,甘肃,西部,0.10572323707481375,0.2697476568950566,0.18773544698493516,30.0
2022,福建,东部,0.12593805954737433,0.3940364307998484,0.2599872451736114,8.0
2022,贵州,西部,0.12648797575397536,0.33720990772370996,0.23184894173884266,21.0
2022,辽宁,东北,0.14273016983777834,0.36576288813617036,0.25424652898697436,10.0
2022,重庆,西部,0.10263674079123966,0.3759470034699663,0.239291872130603,16.0
2022,陕西,西部,0.10881198010299742,0.31178601685796004,0.21029899848047873,27.0
