指标,权重
低空经济产业规模,0.14376839625120408
航空运输业就业人员数,0.06963742699987384
低空经济企业个数,0.09145151873800486
低空交通起降基础设施数量,0.027703910304395698
互联网宽带接入端口,0.028601146538511184
民用通用机场数量,0.02273308729714501
航空邮路总长度,0.0920112757860967
民用机场旅客吞吐量,0.03712723212817428
货邮吞吐量,0.09947901352672005
移动电话基站密度,0.08761294522930678
公共安全财政支出,0.02890013420100956
科学研究和技术服务业城镇单位就业人员,0.044484583077329914
规模以上工业企业R&D经费,0.070274572462695
高技术产业有效发明专利数,0.12843047965617432
低空经济政策数量,0.027784277803358726
