年份,省份,low_低空经济产业规模,low_航空运输业就业人员数,low_低空经济企业个数,low_低空交通起降基础设施数量,low_互联网宽带接入端口,low_民用通用机场数量,low_航空邮路总长度,low_民用机场旅客吞吐量,low_货邮吞吐量,low_移动电话基站密度,low_公共安全财政支出,low_科学研究和技术服务业城镇单位就业人员,low_规模以上工业企业R&D经费,low_高技术产业有效发明专利数,low_低空经济政策数量,low_score,green_道路网密度,green_万人公交车标台数,green_公交站点500m覆盖率,green_新能源充电桩数量,green_人均道路面积,green_绿色交通出行分担率,green_私家车拥有量,green_城市化率,green_人口密度,green_人均GDP,green_全年空气质量优良天数,green_可吸入颗粒物年均浓度,green_二氧化碳年排放量,green_高峰期平均车速,green_高峰拥堵延时指数,green_建成区绿化覆盖率,green_环保财政支出占比,green_道路运输财政支出占比,green_新能源车辆占有率,green_score
2016,上海,0.0058479532163742695,0.6242496909396923,0.06666666666666667,0.038461538461538464,0.1315997236751209,0.07142857142857142,0.0517379564388088,0.7818295714295235,0.600424178154825,0.4050927463163123,0.2017590072291978,0.3110795454545454,0.14132317675337544,0.047258789784185275,0.14285714285714285,0.22550969157159706,0.7141509433962264,0.5055387713997985,0.5502645502645502,0.02466826154979595,0.17820945945945946,0.7085020242914983,0.9355424386760561,0.9581036383682469,0.9911429884118638,0.5793870040274257,0.5882352941176471,0.5236139630390144,0.3508572454770389,0.14770114942528736,0.42533936651583715,0.22238345728278616,0.3932584269662921,0.40210711150131695,0.09940288022479804,0.4214220504510566
2016,云南,0.0008464142813173286,0.17644737038085168,0.16666666666666666,0.5,0.1393664265271884,0.7857142857142857,0.05094034086251146,0.011355684839760894,0.003393425238600212,0.01178886300427406,0.16988614745222,0.12499999999999997,0.019712210285721503,0.0021731778498691083,0.0,0.08196445174664925,0.05849056603773584,0.05941591137965759,0.19841269841269843,0.0053447900024557885,0.08277027027027027,0.28340080971659926,0.8385294408107142,0.01014332965821391,0.028230129154117108,0.16552793253277248,0.7823529411764706,0.7145790554414784,0.7275986032002411,0.4971264367816093,0.6730769230769229,0.06693270451659712,0.30786516853932583,0.5408252853380158,0.005268703898840885,0.1591777965970673
2016,内蒙古,0.00046168051708217917,0.032484844874067234,0.4,0.6923076923076923,0.09261817822954703,0.9285714285714286,0.05248992049884891,0.22324849890374993,0.1073170731707317,0.0013175475552320715,0.11761348669769076,0.06534090909090909,0.03544400040808627,0.0,0.0,0.11455307003273021,0.06792452830188679,0.1540785498489426,0.11111111111111119,0.002055688462482996,0.5371621621621622,0.028340080971660037,0.8833952460174571,0.37574421168687977,0.003190566134054827,0.2629866472650992,0.43529411764705883,0.30184804928131426,0.8087153777613492,0.37586206896551716,0.7352941176470589,0.10774532922183927,0.38202247191011235,0.44424934152765577,0.001053740779768177,0.16061937128108733
2016,北京,0.007386888273314867,0.5650367148751099,0.3333333333333333,0.038461538461538464,0.15018257179512484,0.07142857142857142,0.16382239502642804,0.6464410190794165,0.416118769883351,0.23504676496917307,0.21757836508912112,0.9616477272727272,0.07253844603402632,0.04181018825857685,0.14285714285714285,0.24244359729710657,0.7179245283018868,0.865055387713998,0.5502645502645502,0.02343484847230615,0.36655405405405406,0.7975708502024291,0.8560131270083638,0.9338478500551268,0.3395528102506509,0.598079170952308,0.3235294117647059,0.31724845995893225,0.6999854579565393,0.0999999999999999,0.25791855203619907,0.13767458733901689,0.42247191011235957,0.302019315188762,0.07095187917105726,0.32896435090158616
2016,吉林,0.00046168051708217917,0.04533877478067889,0.3,0.15384615384615385,0.1281456626862726,0.14285714285714285,0.027023447197430914,0.27161012148716823,0.10455991516436905,0.011751674161989283,0.1051087306465303,0.08948863636363635,0.02458827981255752,0.0016846825406766285,0.0,0.07479846955081426,0.22641509433962267,0.2658610271903323,0.28571428571428564,0.002466826154979595,0.3783783783783784,0.10526315789473692,0.9080653615624786,0.27563395810363833,0.032901117974373374,0.19065548614406774,0.5529411764705883,0.44455852156057496,0.8396702325326098,0.23160919540229888,0.595022624434389,0.07328133502630146,0.5842696629213482,0.3827919227392449,0.004566210045662101,0.17672484870632618
2016,四川,0.007386888273314867,0.2721220155200405,0.2,0.46153846153846156,0.3402151386558768,0.7857142857142857,0.044306082485860085,0.22670052046888853,0.049204665959703076,0.01472678154477138,0.2692363976936811,0.28125,0.07324531602138341,0.04797900722722547,0.14285714285714285,0.1329300565383419,0.05943396226415094,0.09969788519637465,0.3518518518518518,0.00986730461991838,0.1368243243243243,0.3805668016194332,0.7291528977415165,0.14641675854465272,0.04127316351013324,0.18951982966999487,0.4,0.3336755646817249,0.6349257343101167,0.23735632183908037,0.6006787330316743,0.17123163431888266,0.23820224719101118,0.39947322212467073,0.011239901650860553,0.14498174057096216
2016,天津,0.0020006155740227767,0.06488032291216729,0.4,0.0,0.04560347379848021,0.0,0.0372866796269821,0.09259814603783896,0.04856839872746553,0.1252467081233713,0.08485526970468582,0.14488636363636362,0.10035001088200818,0.01805553815899896,0.14285714285714285,0.08760177661592006,0.8415094339622642,0.7099697885196375,0.5291005291005292,0.003289101539972793,0.6621621621621622,0.38866396761133615,0.9386836527723968,0.8551267916207278,0.3074429526775231,0.36745780990033927,0.11176470588235295,0.11088295687885019,0.9210465664721317,0.24885057471264374,0.6131221719457014,0.049337928532559396,0.011235955056179785,0.1378402107111501,0.019318580962416582,0.2685227341073826
2016,宁夏,7.694675284702984e-05,0.02098631197962436,0.1,0.07692307692307693,0.004431066811408273,0.14285714285714285,0.013192002240139193,0.04342349907035326,0.0016967126193001062,0.010713042923893032,0.0,0.004261363636363637,0.005026747984883965,0.0005886994751806806,0.0,0.02067485500055207,0.15471698113207547,0.31017119838872104,0.08994708994708973,0.00020694850293452978,0.6148648648648649,0.016194331983805613,0.9883505397418659,0.26725468577728784,0.0246566950839757,0.18949213073160284,0.3764705882352941,0.15913757700205333,0.9915639095310503,0.5735632183908046,1.0,0.034282604752403405,0.797752808988764,0.7515364354697103,0.0003512469265893922,0.20594667145148154
2016,安徽,0.006617420744844568,0.03174012124100746,0.13333333333333333,0.15384615384615385,0.2235369584525807,0.2857142857142857,0.01213494459609821,0.06487534736800016,0.015906680805938496,0.036253808535901835,0.11688178651915591,0.11079545454545453,0.10648104219081624,0.042066961433921614,0.14285714285714285,0.06595117221028474,0.2528301886792453,0.06545820745216514,0.3306878306878307,0.013156406159891172,0.2795608108108108,0.21052631578947384,0.8334472830587145,0.18676957001102532,0.10784113533105313,0.20504508463872276,0.5529411764705883,0.30184804928131426,0.7456195858635244,0.6270114942528735,0.7047511312217194,0.16760384545619444,0.2966292134831461,0.19578577699736607,0.009834913944502987,0.18225279425044047
2016,山东,0.003154816866728224,0.13178629410625717,0.23333333333333334,0.3076923076923077,0.43598144675811706,0.5714285714285714,0.08658356590423276,0.11858826979081281,0.03711558854718982,0.056078117819565045,0.3366479351420962,0.23437499999999997,0.41177995588188554,0.08695216503626138,0.14285714285714285,0.1501579996397971,0.29811320754716986,0.3011077542799597,0.39682539682539686,0.016445507699863967,0.5185810810810811,0.2348178137651824,0.43872543433836986,0.3278941565600883,0.15914543876665474,0.2763236861008574,0.011764705882352941,0.1273100616016427,0.45955348410854335,0.6637931034482758,0.595022624434389,0.3983312171231634,0.16179775280898875,0.052677787532923584,0.005619950825430278,0.1978216473756145
2016,山西,0.00030778701138811946,0.04371527726060859,0.5,0.23076923076923078,0.13033652422777064,0.35714285714285715,0.016058081588261258,0.6896446017180138,0.8188759278897136,0.026512988203167956,0.10396727836801593,0.08380681818181818,0.026567334483456672,0.0006012249959292058,0.0,0.18659714631922347,0.28867924528301886,0.07854984894259817,0.2195767195767195,0.004111376924965992,0.2170608108108108,0.1619433198380567,0.8480746294734762,0.2659316427783903,0.055184031854612285,0.15971577196018003,0.12941176470588237,0.047227926078028726,0.7670161487277303,0.2867816091954022,0.6515837104072397,0.06675131507346271,0.6674157303370786,0.3722563652326602,0.0038637161924833154,0.15519275452642464
2016,广东,0.049707602339181284,0.963270230417492,0.0,0.2692307692307692,0.6171321425046877,0.42857142857142855,0.06403268134180737,0.21932998793791697,0.07529162248144221,0.07099615626751526,0.7351025843650306,0.440340909090909,0.4881781155636811,0.4057078798051029,0.14285714285714285,0.2680370825990573,0.19056603773584907,0.3272910372608258,0.5502645502645502,0.06520533430461165,0.320945945945946,0.57085020242915,0.46359686106489806,0.5523704520396914,0.16708356730818316,0.3236473223436257,0.6411764705882353,0.635523613963039,0.04645181707625845,0.2741379310344827,0.33484162895927605,0.8099038635951388,0.3348314606741573,0.1527655838454785,0.02809975412715139,0.26763810857132797
2016,广西,0.0006155740227762388,0.05684475491145236,0.1,0.23076923076923078,0.18086450212178032,0.42857142857142855,0.05979641352686576,0.368093457819362,0.1295864262990456,0.016153239280980294,0.14769368103725816,0.10795454545454546,0.022209414049694533,0.002573994513821912,0.0,0.07893768318006433,0.17735849056603775,0.009063444108761337,0.28571428571428564,0.005755927694952388,0.1385135135135135,0.2874493927125507,0.8849677522277171,0.08665931642778389,0.05046199397621114,0.1560041142156492,0.8117647058823529,0.6190965092402464,0.7724005692067497,0.5327586206896551,0.8642533936651583,0.14202793397424268,0.040449438202247175,0.3520632133450395,0.007376185458377239,0.1634033320699194
2016,新疆,0.00046168051708217917,0.10014298693754747,0.0,0.5769230769230769,0.1047764729102931,0.8571428571428571,0.03953421307877362,0.13166330127884737,0.029268292682926828,0.0009775352829141176,0.1752056077501683,0.07244318181818182,0.009451542401482445,8.141588486541327e-05,0.0,0.06598917349867336,0.0028301886792452802,0.20745216515609266,0.11111111111111119,0.0016445507699863965,0.29138513513513514,0.052631578947368605,0.9265290153984063,0.11532524807056238,0.0016590943897085099,0.18846265352136607,0.4764705882352941,0.11088295687885019,0.7550918289276959,1.0,0.5463800904977376,0.10629421367676402,0.18202247191011237,0.5566286215978928,0.002107481559536354,0.15750757640403867
2016,江苏,0.010464758387196061,0.11678011290010278,0.2,0.3076923076923077,0.5343531037205171,0.5714285714285714,0.09365987241365675,0.2212226020778771,0.031813361611876985,0.09312086108107963,0.41950566335938194,0.29119318181818177,0.4827003848777544,0.16461039367711713,0.14285714285714285,0.17698841575371443,0.2160377358490566,0.2940584088620342,0.439153439153439,0.03712656142645464,0.6190878378378378,0.4736842105263157,0.554505951973989,0.5192943770672548,0.19748328143345753,0.431045339468956,0.4764705882352941,0.45995893223819306,0.44517612604636747,0.2494252873563218,0.5124434389140271,0.5000906947215672,0.15056179775280898,0.22036874451273045,0.013347383210396909,0.24310777635954006
2016,江西,0.0012311480455524779,0.020800131071359418,0.23333333333333334,0.15384615384615385,0.17698608506858776,0.35714285714285715,0.006549063645607922,0.11852829258215214,0.09565217391304348,0.02783850479603248,0.12271343694207862,0.06960227272727272,0.050582258346973975,0.01690945301050891,0.14285714285714285,0.07370305384013424,0.19622641509433963,0.0020140986908358527,0.19841269841269843,0.006167065387448987,0.1714527027027027,0.08502024291497982,0.8951282694075374,0.19735391400220512,0.0666445454081372,0.19260364481097322,0.6823529411764706,0.3809034907597536,0.8374086478204297,0.5787356321839078,0.8303167420814479,0.09178305822601124,0.5528089887640449,0.1773485513608428,0.007024938531787847,0.17080431380544292
2016,河北,0.0012311480455524779,0.03457007104663459,0.6333333333333333,0.15384615384615385,0.3531925392282641,0.2857142857142857,0.013166604565601711,0.060157140286691065,0.008907741251325558,0.034729066002226014,0.20131998712207688,0.21448863636363633,0.08827517787178213,0.009106053584177763,0.14285714285714285,0.11543826882743942,0.319811320754717,0.11681772406847937,0.24338624338624348,0.008222753849931983,0.19679054054054052,0.125506072874494,0.593267850224481,0.23947078280044098,0.0976313237020777,0.18073926619972414,0.07058823529411765,0.047227926078028726,0.7590232830779602,0.35459770114942535,0.7160633484162895,0.14366043896245237,0.5550561797752808,0.19402985074626863,0.003512469265893924,0.15685378964871038
2016,河南,0.0027700831024930752,0.08244090617971671,0.16666666666666666,0.07692307692307693,0.40300009868745684,0.14285714285714285,0.012727771328340172,0.16627015067607642,0.026511134676564158,0.04658965034519214,0.2173003190212779,0.23437499999999997,0.1178188578257078,0.016558738429550208,0.14285714285714285,0.08343105021278274,0.28584905660377363,0.05740181268882174,0.37566137566137575,0.011922993082401375,0.08868243243243241,0.2672064777327936,0.6507782766243533,0.11069459757442124,0.14737863086426053,0.18960754297490293,0.07647058823529412,0.1273100616016427,0.6623610065926608,0.5770114942528737,0.75,0.16179938327589333,0.15056179775280898,0.1334503950834065,0.005268703898840885,0.15275622464410918
2016,浙江,0.008925823330255463,0.11284052488121658,0.1,0.23076923076923078,0.43998815750518117,0.35714285714285715,0.11605065517963067,0.045789266745303446,0.009331919406150585,0.09539734949808343,0.3344967366172038,0.24573863636363635,0.2716528496986621,0.08600022545937347,0.14285714285714285,0.12175013503138465,0.2018867924528302,0.34843907351460224,0.462962962962963,0.03531645185412062,0.39020270270270263,0.42510121457489913,0.6082902223538975,0.503858875413451,0.1448261779570167,0.36562967996646584,0.5235294117647059,0.4763860369609856,0.6133899288922513,0.6275862068965515,0.5135746606334841,0.26863776528206057,0.12808988764044946,0.27480245829675154,0.020021074815595365,0.231189959365206
